TIMESTAMP;programPulseSequenceAndRun; RESULTS;readOutput
2026-01-22 14:52:23.919207;8200; ;-4.4145e-06
2026-01-22 14:52:24.594985;8250; ;-4.46293e-06
2026-01-22 14:52:25.289994;8300; ;-4.62684e-06
2026-01-22 14:52:25.964374;8350; ;-4.8783e-06
2026-01-22 14:52:26.656105;8400; ;-5.05152e-06
2026-01-22 14:52:27.347555;8450; ;-5.12603e-06
2026-01-22 14:52:28.015443;8500; ;-5.09064e-06
2026-01-22 14:52:28.696162;8550; ;-5.07201e-06
2026-01-22 14:52:29.369691;8600; ;-5.06456e-06
2026-01-22 14:52:30.071648;8650; ;-4.77585e-06
2026-01-22 14:52:30.740107;8700; ;-4.67899e-06
2026-01-22 14:52:31.415888;8750; ;-4.72556e-06
2026-01-22 14:52:32.101042;8800; ;-4.69389e-06
2026-01-22 14:52:32.784153;8850; ;-4.53557e-06
2026-01-22 14:52:33.478921;8900; ;-4.78889e-06
2026-01-22 14:52:34.149088;8950; ;-4.97329e-06
2026-01-22 14:52:34.827272;9000; ;-5.00123e-06
2026-01-22 14:52:35.511569;9050; ;-5.10368e-06
2026-01-22 14:52:36.182035;9100; ;-5.26945e-06
2026-01-22 14:52:36.855980;9150; ;-5.36445e-06
2026-01-22 14:52:37.534091;9200; ;-5.75747e-06
2026-01-22 14:52:38.205746;9250; ;-5.79658e-06
2026-01-22 14:52:38.899278;9300; ;-5.63639e-06
2026-01-22 14:52:39.580430;9350; ;-5.39984e-06
2026-01-22 14:52:40.263169;9400; ;-5.28994e-06
2026-01-22 14:52:40.953617;9450; ;-5.10926e-06
2026-01-22 14:52:41.634654;9500; ;-5.08878e-06
2026-01-22 14:52:42.311011;9550; ;-5.07387e-06
2026-01-22 14:52:42.992966;9600; ;-5.26014e-06
2026-01-22 14:52:43.691464;9650; ;-5.53395e-06
2026-01-22 14:52:44.388981;9700; ;-5.51905e-06
2026-01-22 14:52:45.058271;9750; ;-5.39425e-06
2026-01-22 14:52:45.749474;9800; ;-5.5712e-06
2026-01-22 14:52:46.434333;9850; ;-5.53954e-06
2026-01-22 14:52:47.110943;9900; ;-5.59169e-06
2026-01-22 14:52:47.793073;9950; ;-5.60845e-06
